Date, Product_name, Producer, Price, Shipping, Rating, Number of Ratings
2020-02-05,GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card 2 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N206SWF2OC-8GD Rev 2.0 Video Card,GIGABYTE,399,,Rating + 4",5
2020-02-05,Radeon RX 5700 DirectX 12 RX 5700 CHALLENGER D 8G OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,ASRock,329,,Rating + 4",13
2020-02-05,GeForce GTX 1660 SUPER BLACK GAMING Video Card 06G-P4-1061-KR 6GB GDDR6 Single Fan,EVGA,229,,Rating + 4",13
2020-02-05,GeForce RTX 2070 SUPER XC HYBRID GAMING 08G-P4-3178-KR 8GB GDDR6 WATERCOOLED,EVGA,589,,Rating + 4",12
2020-02-05,RX 5700 XT THICC III ULTRA 8GB BOOST UP TO 2025 MHz GDDR6 3xDP HDMI Video Card,XFX,419,,Rating + 4",8
2020-02-05,GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,749,,Rating + 5",5
2020-02-05,NITRO+ Radeon RX 5700 XT DirectX 12 100416NT+SESR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card SPECIAL EDITION,SAPPHIRE,449,,Rating + 4",7
2020-02-05,GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition VR Ready HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO),ASUS,509,,Rating + 4",14
2020-02-05,Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,MSI,399,,Rating + 3",29
2020-02-05,GeForce RTX 2080 Ti XC ULTRA GAMING 11G-P4-2383-KR 11GB GDDR6 Dual HDB Fans & RGB LED,EVGA,1,219,,Rating + 3",41
